"Release_Date","BA.2","BA.4","BA.5","XBB.1.5","BA.2.86","BA.2.87.1","XAK","B.1.617.2","P.1","B.1.1.7"
2020-03-30,0,0,0,0,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0,0,0,0,0
2020-04-13,0,0,0,0,0,0,0,0,0,0
2020-04-23,0,0,0,0,0,0,0,0,0,0
2020-04-24,0,0,0,0,0,0,0,0,0,0
2020-04-27,0,0,0,0,0,0,0,0,0,0
2020-04-28,0,0,0,0,0,0,0,0,0,0
2020-04-30,0,0,0,0,0,0,0,0,0,0
2020-05-01,0,0,0,0,0,0,0,0,0,0
2020-05-06,0,0,0,0,0,0,0,0,0,0
2020-05-07,0,0,0,0,0,0,0,0,0,0
2020-05-08,0,0,0,0,0,0,0,0,0,0
2020-05-11,0,0,0,0,0,0,0,0,0,0
2020-05-13,0,0,0,0,0,0,0,0,0,0
2020-05-14,0,0,0,0,0,0,0,0,0,0
2020-05-18,0,0,0,0,0,0,0,0,0,0
2020-05-19,0,0,0,0,0,0,0,0,0,0
2020-05-21,0,0,0,0,0,0,0,0,0,0
2020-05-22,0,0,0,0,0,0,0,0,0,0
2020-05-24,0,0,0,0,0,0,0,0,0,0
2020-05-26,0,0,0,0,0,0,0,0,0,0
2020-05-27,0,0,0,0,0,0,0,0,0,0
2020-05-28,0,0,0,0,0,0,0,0,0,0
2020-05-29,0,0,0,0,0,0,0,0,0,0
2020-05-30,0,0,0,0,0,0,0,0,0,0
2020-06-04,0,0,0,0,0,0,0,0,0,0
2020-06-08,0,0,0,0,0,0,0,0,0,0
2020-06-10,0,0,0,0,0,0,0,0,0,0
2020-06-12,0,0,0,0,0,0,0,0,0,0
2020-06-13,0,0,0,0,0,0,0,0,0,0
2020-06-15,0,0,0,0,0,0,0,0,0,0
2020-06-16,0,0,0,0,0,0,0,0,0,0
2020-06-17,0,0,0,0,0,0,0,0,0,0
2020-06-19,0,0,0,0,0,0,0,0,0,0
2020-06-23,0,0,0,0,0,0,0,0,0,0
2020-06-26,0,0,0,0,0,0,0,0,0,0
2020-06-29,0,0,0,0,0,0,0,0,0,0
2020-06-30,0,0,0,0,0,0,0,0,0,0
2020-07-01,0,0,0,0,0,0,0,0,0,0
2020-07-02,0,0,0,0,0,0,0,0,0,0
2020-07-06,0,0,0,0,0,0,0,0,0,0
2020-07-10,0,0,0,0,0,0,0,0,0,0
2020-07-13,0,0,0,0,0,0,0,0,0,0
2020-07-17,0,0,0,0,0,0,0,0,0,0
2020-07-20,0,0,0,0,0,0,0,0,0,0
2020-07-22,0,0,0,0,0,0,0,0,0,0
2020-07-23,0,0,0,0,0,0,0,0,0,0
2020-07-25,0,0,0,0,0,0,0,0,0,0
2020-07-27,0,0,0,0,0,0,0,0,0,0
2020-07-28,0,0,0,0,0,0,0,0,0,0
2020-07-29,0,0,0,0,0,0,0,0,0,0
2020-07-30,0,0,0,0,0,0,0,0,0,0
2020-07-31,0,0,0,0,0,0,0,0,0,0
2020-08-03,0,0,0,0,0,0,0,0,0,0
2020-08-04,0,0,0,0,0,0,0,0,0,0
2020-08-06,0,0,0,0,0,0,0,0,0,0
2020-08-12,0,0,0,0,0,0,0,0,0,0
2020-08-14,0,0,0,0,0,0,0,0,0,0
2020-08-17,0,0,0,0,0,0,0,0,0,0
2020-08-18,0,0,0,0,0,0,0,0,0,0
2020-08-20,0,0,0,0,0,0,0,0,0,0
2020-08-21,0,0,0,0,0,0,0,0,0,0
2020-08-24,0,0,0,0,0,0,0,0,0,0
2020-08-25,0,0,0,0,0,0,0,0,0,1
2020-08-27,0,0,0,0,0,0,0,0,0,0
2020-08-28,0,0,0,0,0,0,0,0,0,0
2020-08-29,0,0,0,0,0,0,0,0,0,0
2020-09-02,0,0,0,0,0,0,0,0,0,0
2020-09-03,0,0,0,0,0,0,0,0,0,0
2020-09-04,0,0,0,0,0,0,0,0,0,0
2020-09-11,0,0,0,0,0,0,0,0,0,0
2020-09-14,0,0,0,0,0,0,0,0,0,0
2020-09-15,0,0,0,0,0,0,0,0,0,0
2020-09-17,0,0,0,0,0,0,0,0,0,2
2020-09-21,0,0,0,0,0,0,0,0,0,0
2020-09-23,0,0,0,0,0,0,0,0,0,0
2020-09-24,0,0,0,0,0,0,0,0,0,0
2020-09-25,0,0,0,0,0,0,0,0,0,0
2020-09-28,0,0,0,0,0,0,0,0,0,1
2020-10-01,0,0,0,0,0,0,0,0,0,0
2020-10-02,0,0,0,0,0,0,0,0,0,0
2020-10-05,0,0,0,0,0,0,0,0,0,0
2020-10-07,0,0,0,0,0,0,0,0,0,0
2020-10-09,0,0,0,0,0,0,0,0,0,3
2020-10-12,0,0,0,0,0,0,0,0,0,0
2020-10-13,0,0,0,0,0,0,0,0,0,0
2020-10-19,0,0,0,0,0,0,0,0,0,0
2020-10-20,0,0,0,0,0,0,0,0,0,0
2020-10-22,0,0,0,0,0,0,0,0,0,0
2020-10-24,0,0,0,0,0,0,0,0,0,0
2020-10-26,0,0,0,0,0,0,0,0,0,0
2020-10-27,0,0,0,0,0,0,0,0,0,0
2020-10-28,0,0,0,0,0,0,0,0,0,0
2020-10-30,0,0,0,0,0,0,0,0,0,0
2020-10-31,0,0,0,0,0,0,0,0,0,0
2020-11-03,0,0,0,0,0,0,0,0,0,1
2020-11-04,0,0,0,0,0,0,0,0,0,0
2020-11-05,0,0,0,0,0,0,0,0,0,0
2020-11-10,0,0,0,0,0,0,0,0,0,0
2020-11-12,0,0,0,0,0,0,0,0,0,0
2020-11-18,0,0,0,0,0,0,0,0,0,0
2020-11-19,0,0,0,0,0,0,0,0,0,0
2020-11-20,0,0,0,0,0,0,0,0,0,0
2020-11-23,0,0,0,0,0,0,0,0,0,1
2020-11-30,0,0,0,0,0,0,0,0,0,0
2020-12-01,0,0,0,0,0,0,0,0,0,1
2020-12-03,0,0,0,0,0,0,0,0,0,0
2020-12-04,0,0,0,0,0,0,0,0,0,0
2020-12-06,0,0,0,0,0,0,0,0,0,0
2020-12-07,0,0,0,0,0,0,0,0,0,0
2020-12-08,0,0,0,0,0,0,0,0,0,0
2020-12-11,0,0,0,0,0,0,0,0,0,0
2020-12-15,0,0,0,0,0,0,0,0,0,0
2020-12-16,0,0,0,0,0,0,0,0,0,0
2020-12-21,0,0,0,0,0,0,0,0,0,0
2020-12-24,0,0,0,0,0,0,0,0,0,0
2020-12-27,0,0,0,0,0,0,0,0,0,0
2020-12-28,0,0,0,0,0,0,0,0,0,0
2020-12-30,0,0,0,0,0,0,0,0,0,0
2020-12-31,0,0,0,0,0,0,0,0,0,0
2021-01-01,0,0,0,0,0,0,0,0,0,0
2021-01-05,0,0,0,0,0,0,0,0,0,0
2021-01-07,0,0,0,0,0,0,0,0,0,0
2021-01-11,0,0,0,0,0,0,0,0,0,0
2021-01-13,0,0,0,0,0,0,0,0,0,1
2021-01-15,0,0,0,0,0,0,0,0,0,1
2021-01-16,0,0,0,0,0,0,0,0,0,0
2021-01-18,0,0,0,0,0,0,0,0,0,0
2021-01-19,0,0,0,0,0,0,0,0,0,0
2021-01-20,0,0,0,0,0,0,0,0,0,0
2021-01-21,0,0,0,0,0,0,0,0,0,0
2021-01-22,0,0,0,0,0,0,0,0,0,0
2021-01-25,0,0,0,0,0,0,0,0,0,3
2021-01-26,0,0,0,0,0,0,0,0,0,0
2021-01-27,0,0,0,0,0,0,0,0,0,0
2021-01-28,0,0,0,0,0,0,0,0,0,0
2021-01-29,0,0,0,0,0,0,0,0,0,0
2021-01-31,0,0,0,0,0,0,0,0,0,0
2021-02-01,0,0,0,0,0,0,0,0,0,0
2021-02-02,0,0,0,0,0,0,0,0,0,0
2021-02-03,0,0,0,0,0,0,0,0,0,0
2021-02-04,0,0,0,0,0,0,0,0,0,0
2021-02-05,0,0,0,0,0,0,0,0,0,1
2021-02-06,0,0,0,0,0,0,0,0,0,0
2021-02-09,0,0,0,0,0,0,0,0,0,0
2021-02-10,0,0,0,0,0,0,0,0,0,1
2021-02-11,0,0,0,0,0,0,0,0,0,0
2021-02-12,0,0,0,0,0,0,0,0,0,0
2021-02-14,0,0,0,0,0,0,0,0,0,0
2021-02-16,0,0,0,0,0,0,0,0,0,0
2021-02-17,0,0,0,0,0,0,0,0,0,0
2021-02-18,0,0,0,0,0,0,0,0,0,0
2021-02-19,0,0,0,0,0,0,0,0,0,0
2021-02-21,0,0,0,0,0,0,0,0,0,0
2021-02-22,0,0,0,0,0,0,0,0,0,0
2021-02-23,0,0,0,0,0,0,0,0,0,0
2021-02-24,0,0,0,0,0,0,0,0,0,2
2021-02-25,0,0,0,0,0,0,0,0,0,0
2021-02-26,0,0,0,0,0,0,0,0,0,2
2021-02-28,0,0,0,0,0,0,0,0,0,0
2021-03-01,0,0,0,0,0,0,0,0,0,0
2021-03-02,0,0,0,0,0,0,0,0,0,2
2021-03-03,0,0,0,0,0,0,0,0,0,2
2021-03-04,0,0,0,0,0,0,0,0,0,1
2021-03-05,0,0,0,0,0,0,0,0,0,0
2021-03-07,0,0,0,0,0,0,0,0,0,0
2021-03-08,0,0,0,0,0,0,0,0,0,0
2021-03-09,0,0,0,0,0,0,0,0,0,2
2021-03-10,0,0,0,0,0,0,0,0,0,5
2021-03-11,0,0,0,0,0,0,0,0,0,5
2021-03-12,0,0,0,0,0,0,0,0,0,0
2021-03-14,0,0,0,0,0,0,0,0,0,0
2021-03-15,0,0,0,0,0,0,0,0,0,1
2021-03-16,0,0,0,0,0,0,0,0,0,1
2021-03-17,0,0,0,0,0,0,0,0,0,0
2021-03-18,0,0,0,0,0,0,0,0,0,9
2021-03-19,0,0,0,0,0,0,0,0,0,3
2021-03-22,0,0,0,0,0,0,0,0,0,1
2021-03-23,0,0,0,0,0,0,0,0,0,4
2021-03-24,0,0,0,0,0,0,0,0,0,15
2021-03-25,0,0,0,0,0,0,0,0,0,7
2021-03-26,0,0,0,0,0,0,0,0,0,2
2021-03-29,0,0,0,0,0,0,0,0,0,0
2021-03-30,0,0,0,0,0,0,0,0,0,1
2021-03-31,0,0,0,0,0,0,0,0,0,17
2021-04-01,0,0,0,0,0,0,0,0,1,7
2021-04-02,0,0,0,0,0,0,0,0,0,1
2021-04-03,0,0,0,0,0,0,0,0,0,0
2021-04-05,0,0,0,0,0,0,0,0,0,13
2021-04-06,0,0,0,0,0,0,0,0,0,13
2021-04-07,0,0,0,0,0,0,0,0,0,31
2021-04-08,0,0,0,0,0,0,0,0,0,0
2021-04-09,0,0,0,0,0,0,0,0,0,6
2021-04-12,0,0,0,0,0,0,0,0,4,68
2021-04-13,0,0,0,0,0,0,0,0,1,34
2021-04-14,0,0,0,0,0,0,0,0,0,3
2021-04-15,0,0,0,0,0,0,0,0,0,8
2021-04-16,0,0,0,0,0,0,0,0,2,15
2021-04-18,0,0,0,0,0,0,0,0,0,0
2021-04-19,0,0,0,0,0,0,0,0,2,19
2021-04-20,0,0,0,0,0,0,0,0,2,134
2021-04-21,0,0,0,0,0,0,0,0,1,6
2021-04-22,0,0,0,0,0,0,0,0,4,61
2021-04-23,0,0,0,0,0,0,0,0,2,237
2021-04-25,0,0,0,0,0,0,0,0,1,27
2021-04-26,0,0,0,0,0,0,0,0,0,11
2021-04-27,0,0,0,0,0,0,0,0,4,47
2021-04-28,0,0,0,0,0,0,0,1,1,7
2021-04-29,0,0,0,0,0,0,0,0,1,431
2021-04-30,0,0,0,0,0,0,0,0,6,27
2021-05-01,0,0,0,0,0,0,0,0,0,75
2021-05-02,0,0,0,0,0,0,0,0,0,80
2021-05-03,0,0,0,0,0,0,0,0,7,140
2021-05-04,0,0,0,0,0,0,0,0,0,104
2021-05-05,0,0,0,0,0,0,0,0,3,15
2021-05-06,0,0,0,0,0,0,0,1,4,37
2021-05-07,0,0,0,0,0,0,0,0,1,216
2021-05-09,0,0,0,0,0,0,0,0,2,7
2021-05-10,0,0,0,0,0,0,0,2,5,116
2021-05-11,0,0,0,0,0,0,0,0,3,20
2021-05-12,0,0,0,0,0,0,0,1,6,73
2021-05-13,0,0,0,0,0,0,0,0,2,49
2021-05-14,0,0,0,0,0,0,0,0,3,46
2021-05-16,0,0,0,0,0,0,0,0,0,85
2021-05-17,0,0,0,0,0,0,0,0,4,52
2021-05-18,0,0,0,0,0,0,0,0,1,12
2021-05-19,0,0,0,0,0,0,0,0,0,78
2021-05-20,0,0,0,0,0,0,0,1,9,65
2021-05-21,0,0,0,0,0,0,0,0,1,25
2021-05-22,0,0,0,0,0,0,0,0,0,83
2021-05-23,0,0,0,0,0,0,0,0,0,2
2021-05-24,0,0,0,0,0,0,0,0,0,33
2021-05-25,0,0,0,0,0,0,0,1,7,71
2021-05-26,0,0,0,0,0,0,0,0,4,32
2021-05-27,0,0,0,0,0,0,0,0,3,90
2021-05-28,0,0,0,0,0,0,0,0,0,5
2021-05-31,0,0,0,0,0,0,0,0,4,290
2021-06-01,0,0,0,0,0,0,0,1,4,62
2021-06-02,0,0,0,0,0,0,0,0,3,58
2021-06-03,0,0,0,0,0,0,0,1,1,51
2021-06-04,0,0,0,0,0,0,0,1,3,90
2021-06-06,0,0,0,0,0,0,0,0,0,3
2021-06-07,0,0,0,0,0,0,0,0,0,12
2021-06-08,0,0,0,0,0,0,0,1,4,5
2021-06-09,0,0,0,0,0,0,0,0,2,361
2021-06-10,0,0,0,0,0,0,0,2,5,16
2021-06-11,0,0,0,0,0,0,0,0,1,5
2021-06-12,0,0,0,0,0,0,0,0,1,6
2021-06-14,0,0,0,0,0,0,0,1,2,248
2021-06-15,0,0,0,0,0,0,0,0,2,15
2021-06-16,0,0,0,0,0,0,0,2,1,246
2021-06-17,0,0,0,0,0,0,0,0,1,22
2021-06-18,0,0,0,0,0,0,0,0,1,142
2021-06-19,0,0,0,0,0,0,0,1,1,68
2021-06-20,0,0,0,0,0,0,0,2,0,66
2021-06-21,0,0,0,0,0,0,0,2,3,83
2021-06-22,0,0,0,0,0,0,0,2,1,90
2021-06-23,0,0,0,0,0,0,0,0,0,6
2021-06-24,0,0,0,0,0,0,0,0,0,3
2021-06-25,0,0,0,0,0,0,0,1,3,247
2021-06-27,0,0,0,0,0,0,0,1,2,153
2021-06-28,0,0,0,0,0,0,0,2,2,100
2021-06-29,0,0,0,0,0,0,0,3,2,57
2021-06-30,0,0,0,0,0,0,0,5,1,114
2021-07-01,0,0,0,0,0,0,0,0,0,2
2021-07-02,0,0,0,0,0,0,0,1,0,14
2021-07-04,0,0,0,0,0,0,0,0,0,0
2021-07-05,0,0,0,0,0,0,0,22,0,73
2021-07-06,0,0,0,0,0,0,0,14,1,102
2021-07-07,0,0,0,0,0,0,0,0,2,8
2021-07-08,0,0,0,0,0,0,0,4,1,20
2021-07-09,0,0,0,0,0,0,0,3,5,26
2021-07-12,0,0,0,0,0,0,0,0,0,0
2021-07-13,0,0,0,0,0,0,0,8,1,115
2021-07-14,0,0,0,0,0,0,0,0,0,0
2021-07-15,0,0,0,0,0,0,0,1,0,2
2021-07-16,0,0,0,0,0,0,0,0,3,1
2021-07-17,0,0,0,0,0,0,0,0,0,2
2021-07-18,0,0,0,0,0,0,0,9,2,45
2021-07-19,0,0,0,0,0,0,0,0,1,1
2021-07-20,0,0,0,0,0,0,0,1,1,11
2021-07-21,0,0,0,0,0,0,0,2,1,7
2021-07-22,0,0,0,0,0,0,0,1,0,0
2021-07-23,0,0,0,0,0,0,0,0,1,1
2021-07-24,0,0,0,0,0,0,0,0,0,1
2021-07-26,0,0,0,0,0,0,0,1,0,4
2021-07-27,0,0,0,0,0,0,0,0,0,3
2021-07-28,0,0,0,0,0,0,0,4,2,4
2021-07-29,0,0,0,0,0,0,0,0,0,2
2021-07-30,0,0,0,0,0,0,0,0,0,1
2021-07-31,0,0,0,0,0,0,0,0,0,0
2021-08-01,0,0,0,0,0,0,0,0,0,0
2021-08-02,0,0,0,0,0,0,0,1,0,1
2021-08-03,0,0,0,0,0,0,0,2,6,11
2021-08-04,0,0,0,0,0,0,0,1,3,13
2021-08-05,0,0,0,0,0,0,0,2,2,3
2021-08-06,0,0,0,0,0,0,0,2,1,7
2021-08-07,0,0,0,0,0,0,0,0,1,0
2021-08-08,0,0,0,0,0,0,0,0,0,1
2021-08-09,0,0,0,0,0,0,0,3,0,6
2021-08-10,0,0,0,0,0,0,0,6,3,8
2021-08-11,0,0,0,0,0,0,0,4,0,3
2021-08-12,0,0,0,0,0,0,0,3,0,0
2021-08-13,0,0,0,0,0,0,0,4,2,11
2021-08-14,0,0,0,0,0,0,0,7,0,3
2021-08-15,0,0,0,0,0,0,0,0,0,1
2021-08-16,0,0,0,0,0,0,0,1,0,2
2021-08-17,0,0,0,0,0,0,0,0,0,0
2021-08-18,0,0,0,0,0,0,0,0,0,0
2021-08-19,0,0,0,0,0,0,0,1,0,6
2021-08-20,0,0,0,0,0,0,0,2,2,23
2021-08-21,0,0,0,0,0,0,0,1,0,0
2021-08-22,0,0,0,0,0,0,0,0,0,3
2021-08-23,0,0,0,0,0,0,0,11,0,2
2021-08-24,0,0,0,0,0,0,0,3,0,1
2021-08-25,0,0,0,0,0,0,0,15,1,3
2021-08-26,0,0,0,0,0,0,0,0,2,9
2021-08-27,0,0,0,0,0,0,0,17,1,14
2021-08-28,0,0,0,0,0,0,0,0,0,0
2021-08-30,0,0,0,0,0,0,0,1,1,1
2021-08-31,0,0,0,0,0,0,0,1,1,2
2021-09-01,0,0,0,0,0,0,0,11,4,4
2021-09-02,0,0,0,0,0,0,0,9,0,1
2021-09-03,0,0,0,0,0,0,0,8,1,10
2021-09-04,0,0,0,0,0,0,0,0,0,0
2021-09-06,0,0,0,0,0,0,0,0,0,0
2021-09-07,0,0,0,0,0,0,0,1,1,0
2021-09-08,0,0,0,0,0,0,0,2,0,0
2021-09-09,0,0,0,0,0,0,0,3,1,0
2021-09-10,0,0,0,0,0,0,0,1,0,0
2021-09-11,0,0,0,0,0,0,0,10,0,8
2021-09-12,0,0,0,0,0,0,0,2,0,0
2021-09-13,0,0,0,0,0,0,0,0,0,0
2021-09-14,0,0,0,0,0,0,0,14,1,2
2021-09-15,0,0,0,0,0,0,0,7,0,0
